sentence
Maria nie zaprosiła Renaty albo Jana.
Maria nie zaprosiła Renaty lub Jana.
Maria nie zaprosiła Renaty bądź Jana.
Nie myślę, że Maria zaprosiła Piotra lub Julię.
Nie myślę, że Maria zaprosiła Piotra albo Julię.
Nie myślę, że Maria zaprosiła Piotra bądź Julię.
Tak nie jest, że Maria zaprosiła Renatę bądź Jana. 
Tak nie jest, że Maria zaprosiła Renatę lub Jana.
Tak nie jest, że Maria zaprosiła Renatę albo Jana.
Każdy student zrobił pierwsze bądź drugie zadanie.
Każdy student zrobił pierwsze lub drugie zadanie. 
Każdy student zrobił pierwsze albo drugie zadanie.
